commission,entryDt,entryPrice,exitDt,exitPrice,pnl,slippage,turnover,volume
1.0,2018-01-18 04:00:00,10366.0,2018-01-18 04:09:00,10588.0,-22.416168242330695,0,2000,-10
1.0,2018-01-18 05:00:00,10901.07,2018-01-18 05:35:00,11171.01,-25.76270678016016,0,2000,-10
1.0,2018-01-18 10:00:00,11377.78,2018-01-18 13:01:00,10690.0,59.44940225597618,0,2000,-10
1.0,2018-01-18 22:00:00,11371.0,2018-01-19 00:32:00,11150.0,-20.43540585700466,0,2000,10
1.0,2018-01-19 04:00:00,11535.0,2018-01-19 06:13:00,10843.93,58.9107065452969,0,2000,-10
1.0,2018-01-19 07:00:00,10950.92,2018-01-19 07:20:00,10681.52,-25.60067282018311,0,2000,10
1.0,2018-01-19 08:00:00,10960.0,2018-01-19 10:40:00,10710.0,-23.81021897810219,0,2000,10
1.0,2018-01-19 12:00:00,10830.52,2018-01-19 15:00:00,11196.0,32.745378799909844,0,2000,10
1.0,2018-01-19 15:00:00,11196.0,2018-01-19 16:11:00,11434.39,-22.2924258663808,0,2000,-10
1.0,2018-01-19 17:00:00,11379.3,2018-01-19 20:04:00,11612.12,-21.45995799390134,0,2000,-10
1.0,2018-01-19 21:00:00,11660.22,2018-01-20 04:00:00,11141.1,43.52060081199145,0,2000,-10
1.0,2018-01-20 04:00:00,11141.1,2018-01-20 12:48:00,11856.0,63.16781107790071,0,2000,10
1.0,2018-01-20 13:00:00,12344.9,2018-01-21 12:58:00,12075.39,-22.831687579486285,0,2000,10
1.0,2018-01-21 14:00:00,11962.44,2018-01-21 15:05:00,11712.12,-21.925496804999625,0,2000,10
1.0,2018-01-21 16:00:00,11721.43,2018-01-21 19:00:00,11745.01,1.0116999376355893,0,2000,10
1.0,2018-01-21 19:00:00,11745.01,2018-01-21 19:37:00,11999.2,-22.642382594821164,0,2000,-10
1.0,2018-01-21 20:00:00,12194.18,2018-01-21 23:41:00,11466.92,58.63992658792967,0,2000,-10
1.0,2018-01-22 04:00:00,11356.99,2018-01-22 08:09:00,11634.16,-25.405234133339913,0,2000,-10
1.0,2018-01-22 09:00:00,11750.11,2018-01-22 21:00:00,11285.09,38.57579971591759,0,2000,-10
1.0,2018-01-22 21:00:00,11285.09,2018-01-22 21:10:00,11032.99,-23.339210409487244,0,2000,10
1.0,2018-01-22 22:00:00,10519.96,2018-01-22 23:49:00,10298.0,-22.098939539693983,0,2000,10
1.0,2018-01-23 00:00:00,10330.06,2018-01-23 03:00:00,10399.82,5.7531069519441544,0,2000,10
1.0,2018-01-23 03:00:00,10399.82,2018-01-23 06:52:00,10630.05,-23.13788315566996,0,2000,-10
1.0,2018-01-23 09:00:00,10754.0,2018-01-23 11:52:00,10971.0,-21.178538218337362,0,2000,-10
1.0,2018-01-23 12:00:00,10830.82,2018-01-23 15:16:00,10165.49,60.42932852729525,0,2000,-10
1.0,2018-01-23 16:00:00,10250.85,2018-01-23 16:17:00,10434.01,-18.86778657379631,0,2000,-10
1.0,2018-01-23 17:00:00,10559.67,2018-01-23 19:47:00,9915.63,59.99054231808388,0,2000,-10
1.0,2018-01-23 21:00:00,10199.7,2018-01-24 00:03:00,10839.88,61.76459111542481,0,2000,10
1.0,2018-01-24 04:00:00,10952.96,2018-01-24 06:28:00,11196.99,-23.27982207549381,0,2000,-10
1.0,2018-01-24 09:00:00,10579.61,2018-01-24 19:35:00,11225.96,60.09393446450281,0,2000,10
1.0,2018-01-25 11:00:00,11552.62,2018-01-25 16:19:00,11310.34,-21.971866122143776,0,2000,10
1.0,2018-01-25 18:00:00,11373.04,2018-01-25 20:04:00,11131.0,-22.281908794834173,0,2000,10
1.0,2018-01-25 22:00:00,11250.0,2018-01-25 23:48:00,11005.0,-22.77777777777778,0,2000,10
1.0,2018-01-26 01:00:00,10960.2,2018-01-26 05:00:00,11251.0,25.532362548128617,0,2000,10
1.0,2018-01-26 05:00:00,11251.0,2018-01-26 10:12:00,11487.21,-21.99457825971017,0,2000,-10
1.0,2018-01-26 11:00:00,11587.95,2018-01-26 16:06:00,10828.78,64.51374488153643,0,2000,-10
1.0,2018-01-26 17:00:00,10774.84,2018-01-26 17:23:00,10505.58,-25.989698222897065,0,2000,10
1.0,2018-01-26 18:00:00,10490.0,2018-01-27 00:00:00,11147.84,61.7111534795043,0,2000,10
1.0,2018-01-27 00:00:00,11147.84,2018-01-27 14:40:00,11389.99,-22.72169675919278,0,2000,-10
1.0,2018-01-27 00:00:00,11147.84,2018-09-25 11:59:00,6468.18,418.78176938312714,0,2000,-10
